focus_group,pain_points,processed_text
BAA Supervisors & Admin Aide,Ideally would have: Forms generation*,Ideally would have: Forms generation*
BAA Supervisors & Admin Aide,"When there’s multiple violations, it gets cumbersome in IPS","When there’s multiple violations, it gets cumbersome in IPS"
BAA Supervisors & Admin Aide,Can’t tell which picture goes to which violation – photos not linked to violation,Can’t tell which picture goes to which violation – photos not linked to violation
BAA Supervisors & Admin Aide,Ideally: infestation photo – violation – what homeowner submitted as proof of clearing it up – all linked,Ideally: infestation photo – violation – what homeowner submitted as proof of clearing it up – all linked
BAA Supervisors & Admin Aide,"Often see the inspectors miss things – especially with building certs, fire certs, etc.","Often see the inspectors miss things – especially with building certs, fire certs, etc."
BAA Supervisors & Admin Aide,Periodic inspections,Periodic inspections
BAA Supervisors & Admin Aide,Multiple rounds of tickets – big issue,Multiple rounds of tickets – big issue
BAA Supervisors & Admin Aide,"Service component – in a perfect world, BAA has nothing to do with service – ideally system helps Codes so they’re the one doing the service (has to be certified mail and personal)","Service component – in a perfect world, BAA has nothing to do with service – ideally system helps Codes so they’re the one doing the service (has to be certified mail and personal)"
BAA Supervisors & Admin Aide,Theoretically new system could help with certified mail tracking,Theoretically new system could help with certified mail tracking
BAA Supervisors & Admin Aide,"Hearing overview sheet – list every violation – BAA doesn’t print all pictures, too cumbersome – don't indicate which image goes with which violation – may bring it up on smart screen – BAA doesn’t rely on pictures too much – rare someone contests underlying violation but would think it would be better built out to connect the two","Hearing overview sheet – list every violation – BAA doesn’t print all pictures, too cumbersome – don't indicate which image goes with which violation – may bring it up on smart screen – BAA doesn’t rely on pictures too much – rare someone contests underlying violation but would think it would be better built out to connect the two"
BAA Supervisors & Admin Aide,"Sometimes things missed entirely – most communication is on phones for inspectors, so none of that correspondence is captured – that is one facet","Sometimes things missed entirely – most communication is on phones for inspectors, so none of that correspondence is captured – that is one facet"
BAA Supervisors & Admin Aide,"Other facet, is within IPS, even if they have updates, still combining through all case notes and attachments to make sense of it","Other facet, is within IPS, even if they have updates, still combining through all case notes and attachments to make sense of it"
BAA Supervisors & Admin Aide,"From adjudication/consstuent services: if easier way to have device in field that worked, that pushes notes to including texts and emails","From adjudication/consstuent services: if easier way to have device in field that worked, that pushes notes to including texts and emails"
BAA Supervisors & Admin Aide,One of the biggest things they hear: inspector – texting back and forth or spoken with and that’s not reflected in system,One of the biggest things they hear: inspector – texting back and forth or spoken with and that’s not reflected in system
BAA Supervisors & Admin Aide,Technology Likes Search capabilities is helpful – name or address,Technology Likes Search capabilities is helpful – name or address
BAA Supervisors & Admin Aide,Can’t search by LLC,Can’t search by LLC
BAA Supervisors & Admin Aide,"Address search less reliable – ideally would be able to search by mailing address, what’s in google and pull up parcel address","Address search less reliable – ideally would be able to search by mailing address, what’s in google and pull up parcel address"
BAA Supervisors & Admin Aide,Tax ID search is reliable,Tax ID search is reliable
BAA Supervisors & Admin Aide,Which apartment of the structure is cited? Disconnect between tax map parcels and what those addresses are in USPS,Which apartment of the structure is cited? Disconnect between tax map parcels and what those addresses are in USPS
BAA Supervisors & Admin Aide,Dislikes Case management,Dislikes Case management
BAA Supervisors & Admin Aide,Other tools,Other tools
BAA Supervisors & Admin Aide,USPS website for tracking,USPS website for tracking
BAA Supervisors & Admin Aide,"Individualized BAA email and phone line – constituent services, when people get a ticket","Individualized BAA email and phone line – constituent services, when people get a ticket"
BAA Supervisors & Admin Aide,Dispute through a physical form – mail back to us,Dispute through a physical form – mail back to us
BAA Supervisors & Admin Aide,"People email questions, dispute/adjournment requests","People email questions, dispute/adjournment requests"
BAA Supervisors & Admin Aide,Same with calls,Same with calls
BAA Supervisors & Admin Aide,MS Teams for virtual hearings,MS Teams for virtual hearings
BAA Supervisors & Admin Aide,Outlook for scheduling,Outlook for scheduling
BAA Supervisors & Admin Aide,Outlook for communication with Codes to get tickets – Codes emails word docs of ticket,Outlook for communication with Codes to get tickets – Codes emails word docs of ticket
